USA;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
240274;Foreign Minister;George Eastman;1898;1920;SC;Respectable Compromiser;High;USA - George Eastman;X
240275;Foreign Minister;Emil Seidel;1910;1948;SD;Ideological Crusader;High;USA - Emil Seidel;X
240276;Foreign Minister;Tasker H. Bliss;1912;1931;ML;General Staffer;High;USA - Tasker H Bliss;X
240277;Foreign Minister;Burton K. Wheeler;1910;1947;SL;Apologetic Clerk;High;USA - Burton K Wheeler;X
240278;Foreign Minister;Edward House;1912;1920;SL;Biased Intellectual;High;USA - Edward House;X
240279;Foreign Minister;Henry Cabot Lodge;1912;1925;SC;Ideological Crusader;High;USA - Henry Cabot Lodge;X
240280;Foreign Minister;Robert Lansing;1915;1929;SC;Respectable Compromiser;High;USA - Robert Lansing;X
240281;Foreign Minister;Oscar W. Underwood;1915;1930;ML;Apologetic Clerk;High;USA - Oscar W Underwood;X
240282;Foreign Minister;Homer S. Cummings;1919;1940;SD;Great Compromiser;High;USA - Homer S Cummings;X
240283;Foreign Minister;Bainbridge Colby;1920;1922;SL;Great Compromiser;High;USA - Bainbridge Colby;X
240284;Foreign Minister;Charles Evans Hughes;1920;1926;SC;Ideological Crusader;High;USA - Charles Evans Hughes young;X
240285;Foreign Minister;William Jennings Bryan;1900;1926;ML;Great Compromiser;High;USA - William Jennings Bryan;X
240287;Foreign Minister;James P. Cannon;1918;1975;LE;Iron Fisted Brute;High;USA - James Cannon;X
240288;Foreign Minister;John Sherman;1897;1901;SC;Biased Intellectual;High;USA - John Sherman;X
240289;Foreign Minister;John Hay;1898;1906;SC;Great Compromiser;Very High;USA - John Hay;X
240290;Foreign Minister;William V. Allen;1893;1902;ML;Respectable Compromiser;High;USA - William V Allen;X
240291;Head of Government;Theodore Roosevelt;1900;1920;ML;Flamboyant Tough Guy;High;USA - Theodore Roosevelt;X
240292;Head of Government;Cornelius N. Bliss;1897;1912;SL;Naive Optimist;High;USA - Cornelius N Bliss;X
240293;Head of Government;Alton B. Parker;1903;1914;SC;Silent Workhorse;High;USA - Alton B Parker;X
240294;Head of Government;William H. Taft;1908;1914;SC;Naive Optimist;High;USA - William H Taft;X
240295;Head of Government;John K. Tener;1912;1925;SC;Happy Amateur;High;USA - John K Tener;X
240296;Head of Government;Allan L. Benson;1914;1941;SD;Backroom Backstabber;High;USA - Allan L Benson;X
240297;Head of Government;Charles Evans Hughes;1916;1926;SC;Silent Workhorse;Very High;USA - Charles Evans Hughes young;X
240298;Head of Government;William N. Runyon;1919;1922;SC;Flamboyant Tough Guy;High;USA - William N Runyon;X
240299;Head of Government;James M. Cox;1920;1929;SL;Naive Optimist;High;USA - James M Cox;X
240300;Head of Government;Eugene V. Debs;1900;1927;LE;Backroom Backstabber;High;USA - Eugene V Debs;X
240301;Head of Government;Warren G. Harding;1914;1924;ML;Corporate Suit;High;USA - Warren G Harding;X
240302;Head of Government;Calvin Coolidge;1920;1934;SC;Silent Workhorse;High;USA - Calvin Coolidge;X
240303;Head of Government;John W. Davis;1924;1930;ML;Political Protege;High;USA - John W Davis;X
240304;Head of Government;Robert M. LaFollette;1924;1926;SL;Silent Workhorse;High;USA - Robert M LaFollette;X
240305;Head of Government;John J. Pershing;1900;1924;ML;Old General;Very High;USA - John J Pershing;X
240306;Head of Government;John Reed;1900;1921;LE;Ambitious Union Boss;High;USA - John Reed;X
240307;Head of Government;William McKinley;1897;1902;SL;Happy Amateur;High;USA - William McKinley;X
240308;Head of Government;Garret A. Hobart;1897;1900;ML;Corporate Suit;High;USA - Garret A Hobart;X
240309;Head of Government;William Jennings Bryan;1900;1926;ML;Silent Workhorse;High;USA - William Jennings Bryan;X
240310;Head of Military Intelligence;Joseph Kuhn;1912;1933;SC;Technical Specialist;High;USA - Joseph Kuhn;X
240311;Head of Military Intelligence;Ralph Van Deman;1914;1930;SC;Brilliant Spymaster;High;USA - Ralph Van Deman;X
240312;Head of Military Intelligence;Charles Morris Ankcorn;1914;1935;SD;Technical Specialist;High;USA - Charles Morris Ankcorn;X
240313;Head of Military Intelligence;Marlborough Churchill;1918;1921;SC;Dismal Enigma;High;USA - Marlborough Churchill;X
240314;Head of Military Intelligence;Dennis E. Nolan;1920;1937;SC;Political Specialist;High;USA - Dennis E Nolan;X
240315;Head of Military Intelligence;Stuart Heintzelman;1921;1936;SC;Logistics Specialist;High;High;X
240316;Head of Military Intelligence;William K. Naylor;1922;1933;SC;Generic;High;High;X
240317;Head of Military Intelligence;James H. Reeves;1924;1933;SC;Political Specialist;High;High;X
240319;Head of Military Intelligence;Robert Minor;1920;1953;LE;Political Specialist;High;USA - Robert Minor;X
240320;Head of Military Intelligence;Nelson A. Miles;1898;1926;SC;Logistics Specialist;High;USA - Nelson A Miles;X
240321;Head of State;Theodore Roosevelt;1900;1920;ML;Die-hard Reformer;High;USA - Theodore Roosevelt;X
240322;Head of State;Cornelius N. Bliss;1897;1912;ML;Benevolent Gentleman;High;USA - Cornelius N Bliss;X
240323;Head of State;Alton B. Parker;1903;1914;ML;Weary Stiffneck;High;USA - Alton B Parker;X
240324;Head of State;William H. Taft;1908;1914;SC;Deng_Xiaoping;High;USA - William H Taft;X
240325;Head of State;John K. Tener;1912;1925;SC;Benevolent Gentleman;High;USA - John K Tener;X
240326;Head of State;Leonard Wood;1912;1928;SC;Resigned Generalissimo;Very High;USA - Leonard Wood;X
240327;Head of State;Allan L. Benson;1914;1941;SD;Die-hard Reformer;High;USA - Allan L Benson;X
240328;Head of State;Charles Evans Hughes;1916;1926;SC;Benevolent Gentleman;High;USA - Charles Evans Hughes young;X
240330;Head of State;James M. Cox;1920;1929;SL;Die-hard Reformer;High;USA - James M Cox;X
240331;Head of State;Eugene V. Debs;1900;1927;LE;Barking Buffoon;High;USA - Eugene V Debs;X
240332;Head of State;Warren G. Harding;1920;1924;SC;Cao_Kun;High;USA - Warren G Harding;X
240333;Head of State;Calvin Coolidge;1923;1934;SC;Benevolent Gentleman;High;USA - Calvin Coolidge;X
240334;Head of State;John W. Davis;1924;1930;ML;Benevolent Gentleman;High;USA - John W Davis;X
240335;Head of State;Robert M. LaFollette;1924;1926;SL;Benevolent Gentleman;High;USA - Robert M LaFollette;X
240336;Head of State;James P. Cannon;1918;1975;LE;Ruthless Powermonger;High;USA - James Cannon;X
240337;Head of State;William McKinley;1897;1902;SL;Pig-headed Isolationist;High;USA - William McKinley;X
240338;Head of State;Garret A. Hobart;1897;1900;ML;Insignificant Layman;High;USA - Garret A Hobart;X
240339;Head of State;William Jennings Bryan;1900;1926;ML;Benevolent Gentleman;High;USA - William Jennings Bryan;X
240340;Minister of Armament;Samuel P. Colt;1900;1920;ML;Laissez-Faire Capitalist;High;USA - Samuel P Colt;X
240341;Minister of Armament;Leslie M. Shaw;1902;1933;ML;Resource Industrialist;;USA - Leslie M Shaw;X
240342;Minister of Armament;George Cortelyou;1902;1914;ML;Laissez-Faire Capitalist;High;USA - George Cortelyou;X
240343;Minister of Armament;John W. Smith;1904;1926;SC;Administrative Genius;;USA - John W Smith;X
240344;Minister of Armament;Franklin MacVeagh;1908;1935;SC;Secretary of War;High;USA - Franklin MacVeagh;X
240345;Minister of Armament;W.G. McAdoo;1912;1920;SD;Administrative Genius;High;USA - WG McAdoo;X
240346;Minister of Armament;Styles Bridges;1912;1922;SC;Administrative Genius;High;USA - Styles Bridges;X
240347;Minister of Armament;John J. Pershing;1900;1924;ML;Infantry Proponent;Very High;USA - John J Pershing;X
240348;Minister of Armament;Fred Warren;1912;1933;SC;Laissez-Faire Capitalist;High;USA - Fred Warren;X
240349;Minister of Armament;Victor Berger;1912;1933;SD;Resource Industrialist;High;USA - Victor Berger;X
240350;Minister of Armament;Michael F Phelan;1918;1930;SL;Administrative Genius;High;USA - Michael F Phelan;X
240351;Minister of Armament;Andrew W. Mellon;1920;1938;SC;Resource Industrialist;High;High;X
240353;Minister of Armament;John Reed;1900;1921;LE;Genius Organizer;High;USA - John Reed;X
240354;Minister of Armament;Lyman J. Gage;1900;1928;ML;Genius Organizer;High;USA - Lyman J Gage;X
240355;Minister of Security;Seth Low;1900;1910;ML;Compassionate Gentleman;High;USA - Seth Low;X
240356;Minister of Security;Philander C. Knox;1900;1922;SC;Silent Lawyer;High;USA - Philander C Knox;X
240357;Minister of Security;George B. McClellan;1900;1927;ML;Crime Fighter;High;USA - George B McClellan;X
240358;Minister of Security;William H. Taft;1904;1931;SC;Silent Lawyer;High;USA - William H Taft;X
240359;Minister of Security;James R. Garfield;1907;1919;SC;Compassionate Gentleman;High;USA - James R Garfield;X
240360;Minister of Security;Richard A. Ballinger;1908;1923;ML;Man of the People;High;USA - Richard A Ballinger;X
240361;Minister of Security;Andrieus A. Jones;1908;1925;SL;Compassionate Gentleman;High;USA - Andreius Jones;X
240362;Minister of Security;Stanley Finch;1908;1941;SC;Crime Fighter;High;USA- Stanley Finch;X
240363;Minister of Security;Walter L. Fisher;1911;1936;ML;Health and Safety;High;USA - Walter L Fisher;X
240364;Minister of Security;Alexander Bruce Bielaski;1912;1939;SC;Silent Lawyer;High;USA - Alexander Bruce Bielaski;X
240365;Minister of Security;William J. Flynn;1912;1929;ML;Compassionate Gentleman;High;USA - William J Flynn;X
240366;Minister of Security;Hugh L. Scott;1912;1920;ML;Dai_Li_1;High;USA - Hugh L Scott;X
240367;Minister of Security;Alexander M. Palmer;1917;1937;SC;Crime Fighter;High;USA - Alexander M Palmer;X
240368;Minister of Security;William J. Burns;1921;1933;ML;Crime Fighter;High;USA - William J Burns;X
240369;Minister of Security;J. Edgar Hoover;1924;1932;ML;Director of FBI;High;USA - J Edgar Hoover;X
240371;Minister of Security;Robert Minor;1920;1953;LE;Prince of Terror;High;USA - Robert Minor;X
240372;Minister of Security;Cornelius N. Bliss;1897;1912;ML;Silent Lawyer;;USA - Cornelius N Bliss;X
240373;Foreign Minister;Francis Parker Yockey;1944;1961;FA;Iron Fisted Brute;High;USA - Francis Parker Yockey;X
240374;Head of Military Intelligence;Francis Parker Yockey;1946;1961;FA;Logistics Specialist;;USA - Francis Parker Yockey;X
240375;Minister of Security;William Randolph Hearst;1900;1952;SC;Media Magnate;High;USA - William Randolph Hearst;X
240376;Foreign Minister;William D. Pelley;1933;1966;NS;Iron Fisted Brute;High;USA - WIlliam D Pelley;X
240377;Minister of Security;William D. Pelley;1940;1966;NS;Prince of Terror;High;USA - WIlliam D Pelley;X
240378;Minister of Armament;William H. Woodin;1933;1935;SD;Resource Industrialist;Very High;USA - William H Woodin;X
240379;Chief of Staff;George H. Dern;1933;1937;ML;Fortifications Supporter;High;USA - George H Dern;X
240380;Head of Government;Thomas R. Marshall;1913;1921;SC;Silent Workhorse;High;USA - Thomas R Marshall;X
240381;Head of Government;Charles G. Dawes;1923;1930;SC;Old General;High;USA - Charles G Dawes;X
240382;Head of State;Herbert Hoover;1928;1934;SC;Weary Stiffneck;High;USA - Hebert Hoover;X
240383;Head of Government;Charles Curtis;1928;1937;SC;Silent Workhorse;High;USA - Charles Curtis;X
240384;Head of State;Al Smith;1928;1945;SD;Die-hard Reformer;High;USA - Al Smith;X
240385;Head of Government;Franklin D. Roosevelt;1924;1946;SD;Generic;Very High;USA - FDR;X
240386;Head of Government;Charles W. Bryan;1924;1946;SC;Corporate Suit;High;USA - Charles W Bryan;X
240387;Head of Government;Joseph Taylor Robinson;1928;1938;SC;Flamboyant Tough Guy;High;USA - Joseph Taylor Robinson;X
240388;Minister of Armament;Ogden L. Mills;1932;1938;SC;Military Entrepreneur;Very High;USA - Ogden L Mills;X
240389;Head of State;William Z. Foster;1923;1962;ST;Paranoid Megalomaniac2;High;USA - William Z Foster;X
240390;Head of Government;Benjamin Gitlow;1924;1966;LWR;Backroom Backstabber;High;USA - Benjamin Gitlow;X
240391;Minister of Armament;Abram Jakira;1924;1932;LE;Planned Economy Proponent;Very Low;USA - Abram Jakira;X
240392;Head of Government;James W. Ford;1932;1958;LE;Ambitious Union Boss;High;USA - James Ford;X
240393;Head of Government;Martin Abern;1928;1950;LE;Backroom Backstabber;High;USA - Martin Abern;X
240395;Head of Government;Morris Hillquit;1928;1934;LWR;Silent Workhorse;High;USA - Morris Hillquit;X
240396;Minister of Armament;Max Shachtman;1928;1973;LWR;Planned Economy Proponent;Very High;USA - Max Shachtman;X
240397;Foreign Minister;Max Shachtman;1928;1973;LWR;Ideological Crusader;High;USA - Max Shachtman;X
240398;Minister of Security;Martin Abern;1928;1950;LE;Efficient Sociopath;High;USA - Martin Abern;X
240399;Minister of Security;Albert Goldman;1928;1961;PA;Media Magnate;High;USA - Albert Goldman;X
240400;Foreign Minister;Martin Abern;1928;1950;LE;Ideological Crusader;High;USA - Martin Abern;X
240401;Head of Military Intelligence;Joseph Vanzler;1928;1957;LWR;Political Specialist;High;USA - Joseph Vanzler;X
240402;Minister of Armament;David Dubinsky;1928;1983;SD;Keynesian Economy;High;USA - David Dubinsky;X
240403;Foreign Minister;Jacob Panken;1928;1969;LE;Iron Fisted Brute;High;USA - Jacob Panken;X
240404;Minister of Security;Prescott Sheldon Bush;1928;1973;SC;Crime Fighter;Very High;USA - Prescott Sheldon Bush;X
240405;Chief of Army;Charles Pelot Summerall;1926;1932;SC;Guns and Butter Doctrine;Very High;USA - Charles Pelot Summerall;X
240406;Chief of Staff;Charles Pelot Summerall;1926;1932;SC;School of Fire Support;High;USA - Charles Pelot Summerall;X
240407;Chief of Navy;Charles F. Hughes;1927;1931;SC;Power Projection Doctrine;Very High;USA - Charles F Hughes;X
240408;Chief of Navy;William V. Pratt;1930;1934;SC;Open Seas Doctrine;High;USA - William V Pratt;X
240409;Chief of Air Force;James Fechet;1927;1932;ML;Army Aviation Doctrine;High;USA - James Fechet;X
240410;Chief of Staff;Larry K. Arnold;1924;1964;SC;School of Psychology;;USA - Larry K Arnold;X
240413;Head of Government;Burton K. Wheeler;1910;1947;SC;Silent Workhorse;High;USA - Burton K Wheeler;X
